Data_size_(B),Part_1,Part_2
127162942,23.193647146224976,7.248520135879517
628202414,64.46241092681885,19.770646333694458
1114721235,107.31973528862,34.02608680725098
1623915922,158.79668354988098,48.076728105545044
2115126015,196.4667830467224,60.2615442276001
2607439746,240.09272360801697,73.52413535118103
3098193398,286.57261967658997,86.83222794532776
3599752063,325.163724899292,100.09618043899536
4130503631,372.9406177997589,115.24827527999878
4664425994,421.0189034938812,129.7475244998932
5204773855,467.2024419307709,139.95707774162292
5743206730,500.9623785018921,152.66200160980225
6296132752,552.6694476604462,167.7023584842682
6866284365,594.6372780799866,180.7385196685791
7466695827,656.2708122730255,203.28664875030518
7997202840,653.6656014919281,198.19814205169678
8623948082,694.7106463909149,215.38269710540771
9293827195,748.4223835468292,229.66506695747375
9964854460,804.3646903038025,249.9467282295227
10636922556,862.8263945579529,265.0937829017639
11339800749,912.1536905765533,283.1196253299713
12029214093,963.7272493839264,297.19683623313904